[00:00:01] きしょきし
[01:16:29] スタミナないイメージがやっぱ赤線であっ
[01:16:31] たけど全然スタミナもあったしテイク
[01:16:34] ダウンも強いしやっぱしなんじゃないかな
[01:16:38] とちょっとね思ってきてて僕上田きのこと
[01:16:41] も大好きなんですけど
[01:16:43] うんね小マとも僕はもうね仲いいと思っ
[01:16:48] てるしうんね。うん。ね、思ってるんです
[01:16:53] けど、ま、これ本当複雑な試合ですけど、
[01:16:55] 両方の応援なんですけど
[01:16:57] 。
[01:16:58] うーんね。うん。まず練習ずっとして
[01:17:03] るっていうことでうん。ま、ストライカー
[01:17:05] が上田ミ夫でうん。基本的にはね、しさ
[01:17:08] 両方できるけどどっちかってグラップラー
[01:17:10] がしびさと思うんですけど、グラップラー
[01:17:13] の方が不利な気がしたんですよ。
[01:17:14] グラップリングは結構本気でやるし、結構
[01:17:17] とか本気でやると思う。鬼め以外はうん。
[01:17:19] 練習ではでも打撃ってそんな上田教が特に
[01:17:23] こんな心優しいね。性格のい、正確のいい
[01:17:26] 上田美教がシュート仕掛けてくるわけない
[01:17:29] 練習で軽い蹴りしかやってくれへんと思う
[01:17:30] の。やってこないと思うの。優しいから上
[01:17:32] がうん。で、軽めの出撃しかできてない。
[01:17:37] えー、上田きをで寝技はちゃんと、え、
[01:17:42] 本気でやってるしがうん。で、そういう面
[01:17:47] で実際本番になった時に上きに本気で蹴ら
[01:17:49] れたりしたら、え、しびは面くら、
[01:17:53] 面食らっちゃうんじゃないかなと思って。
[01:17:54] で、あともう寝技は大体のこと分かられ
[01:17:56] てるし、本気でやってるしと一瞬思ったん
[01:17:58] ですけど
[01:18:00] 。うー、でもね、この試合に関してはあの
[01:18:04] 、側からしたらうん。し側というか、他の
[01:18:08] ヘビー級ファイターからしたら上田き対策
[01:18:11] なんかやりようがないやん。こんな蹴れる
[01:18:13] やつおらんもん。ヘビー級で。うん。
[01:18:15] こんなん慣れんのがもう無理やし。うん。
[01:18:18] どうやって対策すればいいのって感じだ
[01:18:20] もん。泥ロヘビー級ファイターからしても
[01:18:22] 。でも守備さはできてるよね。それが軽く
[01:18:26] とはいえ上田右ほど散々スパニングしてる
[01:18:29] と思うんで蹴りの対策とかイメージでき
[01:18:32] てると思う。普通無理やもん。うん。どの
[01:18:34] 世界中のどのヘビーキファイターでも上田
[01:18:37] 清夫と初めてやって蹴られまくったら嫌だ
[01:18:39] と思うけど守備さは慣れてるもん。カルメ
[01:18:42] とはいえ。うん。だからそんなうん。ま、
[01:18:46] 本気でやってこられたらちょっと面食らう
[01:18:48] 部分もあるかもしれんけど、やっぱ上ダメ
[01:18:50] 教の戦い方とか蹴りにある程度対応できる
[01:18:53] はず。うん。ね。だからまあ膝蹴りとか膝
[01:19:01] だけ怖いか。上田きのでパンチだっても
[01:19:05] しめちゃくちゃいいけどね。スタリオ戦と
[01:19:08] か見たら。ま、久しぶりのCっていうのが
[01:19:10] 不安やけど。うん。久しぶりの試合って
[01:19:14] いうのが不安でスタミナ面とかもね。
[01:19:17] うーん、ちょっと不安ではありますけどで
[01:19:20] も普通にやりばやっぱ渋さじゃないかな
[01:19:23] 。うん。ハイキックと膝気をつけてパンチ
[01:19:27] だったら上ダメは俺が見る限りそんな
[01:19:30] 倒せるパンチはまだ習得できてないと思う
[01:19:31] けど。うん。なかなか難しいと思う。
[01:19:35] やっぱ極身での近い距離で打つ攻撃と
[01:19:38] しっかり顔面を打ち抜いて倒す打撃覚えん
[01:19:41] の。上田橋からしたら組み技もそうやしね
[01:19:44] 。顔面あり打撃を覚えんのにもやっぱ時間
[01:19:46] かかるしうん。距離感とかだいぶね。うん
[01:19:50] 。対応できてると思うけどMMAにやっぱ
[01:19:52] 倒せるパンチって難しいと思う。なかなか
[01:19:55] うん。まだ少なくのも時間かかると思う。
[01:19:58] うん。で、守備サイからしたらパンチは
[01:19:59] そんな怖いもんないと思うし、ま、蹴り
[01:20:01] だけ。うん。はい。うん。三日月、膝で
[01:20:05] 三日月もそんな聞かされるような構えじゃ
[01:20:08] ないな。が後ろ重心でめっちゃいい構し
[01:20:10] てるんで。まあね、上ダメの三日月だっ
[01:20:12] たら聞かせると思うけど。うん。やっぱり
[01:20:15] しび。どっかでテイクダウン奪って。うん
[01:20:20] 。2ラウンドでテイクダウン奪っ
[01:20:23] て1ラウンドも奪えると思うな。1
[01:20:26] ラウンドテイクダウン奪って結構削って2
[01:20:28] ラウンドショクで1本勝ち予想にしておき
[01:20:32] ます。ただ上ダメもね、ここで負けたら
[01:20:34] 結構厳しいと思うし。うーんね。日本最強
[01:20:38] ってイメージあるしね。スダリウにも買っ
[01:20:39] てるし。ま、両方が買ってるけど。これ
[01:20:42] 頂上決戦ですよ、日本のね。うーん。
[01:20:45] 楽しみな試合ですけど、普通に行けばしい
[01:20:48] かなと思っちゃいます。はい。そんな感じ
[01:20:52] では次行かしていただきます。僕の、え、
[01:20:56] 優勝予想はヘビー級の、え、さっき言った
[01:21:00] 通りルーちゃんだったんですけど。うーん
[01:21:03] 。でもいや、もうこれわからん。アウグか
[01:21:07] な、今んとこ。アウグかサムチクか。いや
[01:21:13] 、でもね、ダニゲルジェームスも打撃
[01:21:16] めっちゃ強いからね。やっぱ優勝って
[01:21:17] 難しいな。この中で誰なのか。てかもう
[01:21:21] リザーブで、ま、色々組めない事情があっ
[01:21:23] てあったんでしょうけど、てかさ木さんに
[01:21:25] これ言ったらぶち切れされそうですけど
[01:21:28] 、あの怪獣キラタ酒量で良かったやん。
[01:21:31] これもう1回戦日本人だっと読めんじゃ
[01:21:34] ないの?これビザの問題もないし。ま、
[01:21:36] いんな、いろんな問題あるんでしょうけど
[01:21:38] ね。そう思っちゃいました。はい。最木
[01:21:39] さんの前ではこれはイベントとくからね、
[01:21:42] 内緒にしよっか。お前らのコメントであっ
[01:21:44] たことにしようかな。はい。では次行き
[01:21:46] ます。あとちょっとあとちょっとあと4
[01:21:51] 試合か。
[01:21:54] えっと、え、萩原強兵対西谷対戦。これが
[01:21:58] 第13試合。
